class_name,feature,coefficient,abs_coefficient
NO,kw_code_link,-1.031078057272694,1.031078057272694
NO,kw_data_link,-0.6176307956641871,0.6176307956641871
NO,kw_hyperparams,-0.5996953955992701,0.5996953955992701
NO,kw_ablation,-0.5350296103472936,0.5350296103472936
NO,kw_uncertainty,-0.45105924231276595,0.45105924231276595
NO,kw_seed,-0.31262657451206227,0.31262657451206227
NO,kw_stat_tests,-0.21294770750763553,0.21294770750763553
NO,kw_baselines,-0.12498330262060858,0.12498330262060858
NO,kw_limitations,-0.08770542781122898,0.08770542781122898
NO,kw_compute,-0.08590456448278336,0.08590456448278336
NO,lemma,0.014462935834382764,0.014462935834382764
NO,mae,0.014197668850419128,0.014197668850419128
NO,time series,0.013425653546473945,0.013425653546473945
NO,theorem,0.012045101887866352,0.012045101887866352
NO,forecasting,0.011854441940271973,0.011854441940271973
NO,prompts,-0.011589567549349698,0.011589567549349698
NO,imputation,0.011500564002321046,0.011500564002321046
NO,missing,0.011335087888430387,0.011335087888430387
NO,weather,0.0112527028997638,0.0112527028997638
NO,image,-0.011173931057155605,0.011173931057155605
NO,prompt,-0.011172427631802347,0.011172427631802347
NO,attacks,-0.010625297479966088,0.010625297479966088
NO,to image,-0.010447405577696387,0.010447405577696387
NO,bounds,0.010364167246531882,0.010364167246531882
NO,missing data,0.010243447892680191,0.010243447892680191
NO,prove,0.010132712308174308,0.010132712308174308
NO,tab,-0.010099400758013855,0.010099400758013855
NO,image generation,-0.009742934730546538,0.009742934730546538
NO,attack,-0.009645135585617456,0.009645135585617456
NO,llms,-0.009451234122963514,0.009451234122963514
NO,fine tuning,-0.009180962334804225,0.009180962334804225
NO,harmful,-0.00916955795714604,0.00916955795714604
NO,for time,0.009144686424838126,0.009144686424838126
NO,graph,0.009100794352546087,0.009100794352546087
NO,vision language,-0.009055786839961437,0.009055786839961437
NO,source,-0.008809843892246249,0.008809843892246249
NO,images,-0.008649476311485629,0.008649476311485629
NO,tuning,-0.008634576666125625,0.008634576666125625
NO,series data,0.008625832372417382,0.008625832372417382
NO,success rate,-0.008602120724774375,0.008602120724774375
NO,black,-0.008528429451780235,0.008528429451780235
NO,regret,0.008487530853331168,0.008487530853331168
NO,fine,-0.00847423778595408,0.00847423778595408
NO,https,-0.008405004853109962,0.008405004853109962
NO,vision,-0.008382758607528542,0.008382758607528542
NO,stable diffusion,-0.008379031576870425,0.008379031576870425
NO,bound,0.008331717690161453,0.008331717690161453
NO,base model,-0.008314030331925449,0.008314030331925449
NO,black box,-0.008306863315908254,0.008306863315908254
NO,huggingface,-0.008293249970090781,0.008293249970090781
NO,human,-0.008221491923281914,0.008221491923281914
NO,assumptions,0.008173220503461634,0.008173220503461634
NO,pr,0.008147656062396265,0.008147656062396265
NO,language,-0.008139754421431136,0.008139754421431136
NO,source code,-0.008099006678519503,0.008099006678519503
NO,bounded,0.008067200966860536,0.008067200966860536
NO,jailbreak,-0.00806434269098072,0.00806434269098072
NO,abs,-0.008036171863077275,0.008036171863077275
NO,code,-0.007996119794850785,0.007996119794850785
NO,defense,-0.007977567549848805,0.007977567549848805
NO,fine tuned,-0.007965396923443821,0.007965396923443821
NO,sg,-0.007930946043435368,0.007930946043435368
NO,in time,0.007922277052762612,0.007922277052762612
NO,llm,-0.007920795119021518,0.007920795119021518
